Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,SEO Title,SEO Description,Status
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,Golf Ball Dispenser,"<p>A gravity fed golf ball dispenser for simulator bays, backyard nets, and range sessions. Tap it with a club or your foot and the next ball drops into place. No motor, no batteries, no power required.</p><p>Holds up to 25 golf balls. Printed in UV resistant PETG in our own workshop.</p><p>Classic includes the base, ball guider, pedal, hopper, and adjustable legs. Premium adds a funnel for smoother ball delivery.</p><p>Color combinations: Patriot's Drive, Augusta Aura, Caddie, Golden Tee, Ocean Drive, Tiger's Roar, or request a custom combo.</p><p>Is it powered? No, it runs on gravity and a tap. Does it work for left and right handed golfers? Yes, the same for both. Will it work with my simulator? Yes, it is designed to keep the hitting area clean and repeatable.</p>",The Curious Maker,Golf Ball Dispenser,"25_ball_capacity, 3d_printed_golf, auto_ball_feeder, backyard_golf_tool, driving_range_aid, gift_for_golfers, golf_ball_dispenser, golf_gadget, golf_simulator, golf_training_aid, golfer_gift_idea, PETG, practice_feeder, tap_to_dispense",TRUE,Set,Classic,Variation,Patriot's Drive,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,"Golf Ball Dispenser, Classic or Premium","Tap to dispense golf ball feeder, gravity fed, no power required. Holds 25 balls. Printed in UV resistant PETG in our own workshop.",active
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Classic,,Augusta Aura,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Classic,,Caddie,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Classic,,Golden Tee,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Classic,,Ocean Drive,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Classic,,Tiger's Roar,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Classic,,Custom,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Premium,,Patriot's Drive,,0,,continue,manual,84.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Premium,,Augusta Aura,,0,,continue,manual,84.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Premium,,Caddie,,0,,continue,manual,84.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Premium,,Golden Tee,,0,,continue,manual,84.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Premium,,Ocean Drive,,0,,continue,manual,84.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Premium,,Tiger's Roar,,0,,continue,manual,84.95,,TRUE,FALSE,,,,,,,
golf-ball-dispenser-golf-training-aid-for-simulator-backyard-range-practice-25-ball-capacity,,,,,,,,Premium,,Custom,,0,,continue,manual,84.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,Football-Team Golf Ball Dispenser,"<p>A gravity fed golf ball dispenser in team colors, for simulator bays, backyard nets, tailgates, and range sessions. Tap it with a club or your foot and the next ball drops into place. No motor, no batteries, no power required.</p><p>Holds up to 25 golf balls. Printed in UV resistant PETG in our own workshop.</p><p>Comes as the Premium set: base, ball guider, pedal, hopper, adjustable legs, and a funnel for smoother ball delivery.</p><p>Choose from curated team color combinations in the dropdown, or request a custom combo.</p><p>Is it powered? No, it runs on gravity and a tap. Does it work for left and right handed golfers? Yes, the same for both. Will it work with my simulator? Yes, it is designed to keep the hitting area clean and repeatable.</p><p>Not affiliated with any league or team. No logos or protected trademarks are used.</p>",The Curious Maker,Golf Ball Dispenser,"3d_printed_golf, auto_ball_feeder, backyard_golf_tool, driving_range_aid, football_fan_gift, gift_for_dad_golf, gift_for_him_golf, golf_ball_dispenser, golf_simulator, golf_training_aid, PETG, sports_fan_gift, tap_to_dispense, team_color_golf",TRUE,Set,Premium with Funnel,Team,America's Team,,1814,,continue,manual,69.95,,TRUE,FALSE,,,,,Football Team Golf Ball Dispenser,"Team color golf ball dispenser with funnel. Gravity fed, tap to dispense, holds 25 balls. Printed in UV resistant PETG in our workshop.",active
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Nautical Blue Crew,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Black & Gold Nation,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Cheesehead Nation,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,The Red Kingdom,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Philly Green Guard,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Faithful To The Bay,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Table Smashers,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Aqua & Orange Fins,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Orange Crush Country,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Blue Horse Shoe,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Bolt Fam,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Buccaneer Red,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Cardinal Red Birds,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Carolina Blue Cats,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Titans Blue,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Dirty Bird Flight,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Gang Green,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Honolulu Blue Pride,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
football-team-golf-ball-dispenser-25-ball-capacity-sports-fan-gift-for-golfers-simulator-backyard-practice,,,,,,,,Premium with Funnel,,Monsters of D Midway,,0,,continue,manual,69.95,,TRUE,FALSE,,,,,,,
